Month,Passengers
2000-01-01,51748669.0
2000-02-01,53588293.0
2000-03-01,64946495.0
2000-04-01,61996705.0
2000-05-01,64347809.0
2000-06-01,67806223.0
2000-07-01,69851094.0
2000-08-01,68482677.0
2000-09-01,58106713.0
2000-10-01,62152284.0
2000-11-01,60211906.0
2000-12-01,57942293.0
2001-01-01,55109146.0
2001-02-01,52917399.0
2001-03-01,65068140.0
2001-04-01,62374914.0
2001-05-01,62623686.0
2001-06-01,66194224.0
2001-07-01,69529998.0
2001-08-01,70132365.0
2001-09-01,38729338.0
2001-10-01,47745189.0
2001-11-01,48248812.0
2001-12-01,49815289.0
2002-01-01,47842716.0
2002-02-01,47054039.0
2002-03-01,59208378.0
2002-04-01,55051200.0
2002-05-01,57281934.0
2002-06-01,60535398.0
2002-07-01,63425621.0
2002-08-01,63619740.0
2002-09-01,50013492.0
2002-10-01,58249544.0
2002-11-01,54496680.0
2002-12-01,60458232.0
2003-01-01,53602085.0
2003-02-01,50205833.0
2003-03-01,60507997.0
2003-04-01,56118140.0
2003-05-01,58626948.0
2003-06-01,63375819.0
2003-07-01,68450635.0
2003-08-01,66855353.0
2003-09-01,54452532.0
2003-10-01,60408603.0
2003-11-01,57261597.0
2003-12-01,61013466.0
2004-01-01,54994858.0
2004-02-01,55570238.0
2004-03-01,66227528.0
2004-04-01,65052270.0
2004-05-01,64817378.0
2004-06-01,70052273.0
2004-07-01,74234065.0
2004-08-01,71520387.0
2004-09-01,58897723.0
2004-10-01,65686629.0
2004-11-01,62505652.0
2004-12-01,64493697.0
2005-01-01,60095314.0
2005-02-01,57766535.0
2005-03-01,72260533.0
2005-04-01,67159210.0
2005-05-01,70104595.0
2005-06-01,73675670.0
2005-07-01,77790810.0
2005-08-01,73604147.0
2005-09-01,62535007.0
2005-10-01,65430180.0
2005-11-01,63771389.0
2005-12-01,65070959.0
2006-01-01,61090888.0
2006-02-01,58010686.0
2006-03-01,71644255.0
2006-04-01,68974240.0
